user_id,item_id,rating,timestamp,split,user_order_idx
0,0,5.0,1000000001,warm,0
0,1,4.0,1000000002,warm,1
0,2,2.0,1000000003,warm,2
0,3,3.0,1000000004,warm,3
0,5,2.0,1000000005,warm,4
0,7,4.0,1000000006,warm,5
0,10,5.0,1000000007,stream,6
0,11,2.0,1000000008,stream,7
0,8,3.0,1000000009,stream,8
0,4,2.0,1000000010,test,9
1,2,5.0,1000000101,warm,0
1,5,4.0,1000000102,warm,1
1,11,5.0,1000000103,warm,2
1,0,2.0,1000000104,warm,3
1,1,2.0,1000000105,warm,4
1,3,3.0,1000000106,warm,5
1,8,4.0,1000000107,stream,6
1,9,1.0,1000000108,stream,7
1,6,3.0,1000000109,stream,8
1,7,4.0,1000000110,test,9
2,3,5.0,1000000201,warm,0
2,8,4.0,1000000202,warm,1
2,6,5.0,1000000203,warm,2
2,7,4.0,1000000204,warm,3
2,0,2.0,1000000205,warm,4
2,1,2.0,1000000206,warm,5
2,2,3.0,1000000207,stream,6
2,4,3.0,1000000208,stream,7
2,9,2.0,1000000209,stream,8
2,10,3.0,1000000210,test,9
3,9,5.0,1000000301,warm,0
3,0,1.0,1000000302,warm,1
3,1,2.0,1000000303,warm,2
3,2,2.0,1000000304,warm,3
3,5,4.0,1000000305,warm,4
3,10,5.0,1000000306,warm,5
3,7,3.0,1000000307,stream,6
3,11,3.0,1000000308,stream,7
3,8,4.0,1000000309,stream,8
3,3,4.0,1000000310,test,9
4,4,5.0,1000000401,warm,0
4,11,4.0,1000000402,warm,1
4,2,4.0,1000000403,warm,2
4,5,3.0,1000000404,warm,3
4,0,2.0,1000000405,warm,4
4,1,2.0,1000000406,warm,5
4,8,4.0,1000000407,stream,6
4,5,4.0,1000000408,stream,7
4,11,5.0,1000000409,stream,8
4,7,5.0,1000000410,test,9
5,10,5.0,1000000501,warm,0
5,7,4.0,1000000502,warm,1
5,1,3.0,1000000503,warm,2
5,0,3.0,1000000504,warm,3
5,3,2.0,1000000505,warm,4
5,8,2.0,1000000506,warm,5
5,2,4.0,1000000507,stream,6
5,3,4.0,1000000508,stream,7
5,6,5.0,1000000509,stream,8
5,9,3.0,1000000510,test,9
